Safety Index,Distance from London
46.73317444,0
44.64285714,1.929317083
44.64285714,1.929317083
30.85609244,7.971728848
30.85609244,7.971728848
55.88235294,12.44535729
46.51484356,15.1644714
82.59803922,17.05882147
45.24684874,18.1511418
76.10294118,18.59498681
46.07843137,18.81856096
36.50797153,35.496274
50.36764706,39.60381083
41.07142857,40.52633133
47.36075987,47.62320978
77.45098039,54.50377393
37.47745207,58.13000359
52.882366,61.5273864
46.32548462,73.31869066
50.26241177,75.33475051
45.90336134,77.95658043
69.81826786,79.32817139
64.26403547,82.31361284
51.47058824,88.90047274
53.57464051,102.8908881
50.98818533,114.8004964
54.40600165,119.2608474
57.34990415,143.4040096
59.74631718,149.9583507
53.18627451,152.9543215
47.58986928,156.1332856
74.72034048,157.8943468
38.47173873,163.3823208
59.46429441,172.216738
49.21988699,175.3138867
55.65612045,183.0352205
40.99639678,183.1317107
56.2930501,228.2846198
60.29411765,229.5549025
59.66386555,260.7323691
67.5210084,269.0642752
56.29439651,272.4266751
29.24364806,279.4371144
44.58683473,282.1848629
53.22164437,287.620929
43.9847661,306.6570203
56.79354525,346.739982
38.23529412,356.8119924
53.90374332,386.8131111
71.37254902,421.1551136
